TREE_ID;CIVIC_NUMBER;STD_STREET;GENUS_NAME;SPECIES_NAME;CULTIVAR_NAME;COMMON_NAME;ON_STREET_BLOCK;ON_STREET;NEIGHBOURHOOD_NAME;STREET_SIDE_NAME;HEIGHT_RANGE_ID;HEIGHT_RANGE;DIAMETER;DATE_PLANTED;Geom;geo_point_2d
60663;5650;BLENHEIM ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;5600;BLENHEIM ST;DUNBAR-SOUTHLANDS;EVEN;3;30-40;18.5;;"{""coordinates"": [-123.17862999996021, 49.23535999913441], ""type"": ""Point""}";49.23535999913441, -123.17862999996021
60800;2621;BOBOLINK AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;2600;BOBOLINK AV;VICTORIA-FRASERVIEW;ODD;3;30-40;28.0;;"{""coordinates"": [-123.05395400063239, 49.21475599950285], ""type"": ""Point""}";49.21475599950285, -123.05395400063239
93025;3150;E 53RD AV;PRUNUS;X YEDOENSIS;AKEBONO;AKEBONO FLOWERING CHERRY;3100;E 53RD AV;KILLARNEY;EVEN;1;10-20;8.0;2013-02-04;"{""coordinates"": [-123.04017299989528, 49.22109999947652], ""type"": ""Point""}";49.22109999947652, -123.04017299989528
93221;6607;MAIN ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;100;E 50TH AV;SUNSET;EVEN;2;20-30;10.5;;"{""coordinates"": [-123.10216599967171, 49.224671998954285], ""type"": ""Point""}";49.224671998954285, -123.10216599967171
93301;7818;MAIN ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;200;E 62ND AV;SUNSET;EVEN;2;20-30;24.0;;"{""coordinates"": [-123.10180499973437, 49.21430599924034], ""type"": ""Point""}";49.21430599924034, -123.10180499973437
93302;7820;MAIN ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;200;E 62ND AV;SUNSET;EVEN;2;20-30;23.0;;"{""coordinates"": [-123.10165200062143, 49.214302999128506], ""type"": ""Point""}";49.214302999128506, -123.10165200062143
93459;50;MALTA PLACE;PRUNUS;SERRULATA;;JAPANESE FLOWERING CHERRY;0;MALTA PLACE;RENFREW-COLLINGWOOD;EVEN;2;20-30;12.0;;"{""coordinates"": [-123.02614400055448, 49.25468599914184], ""type"": ""Point""}";49.25468599914184, -123.02614400055448
93581;8240;MANITOBA ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;8200;MANITOBA ST;MARPOLE;EVEN;2;20-30;14.0;;"{""coordinates"": [-123.10994700034212, 49.21050599951922], ""type"": ""Point""}";49.21050599951922, -123.10994700034212
61171;6191;BOUNDARY ROAD;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;3600;E 46TH AV;KILLARNEY;ODD;2;20-30;29.0;;"{""coordinates"": [-123.0240109999519, 49.22814999926062], ""type"": ""Point""}";49.22814999926062, -123.0240109999519
61268;4456;BRAKENRIDGE ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;4400;BRAKENRIDGE ST;ARBUTUS RIDGE;EVEN;2;20-30;15.0;;"{""coordinates"": [-123.15979900057839, 49.24643599913211], ""type"": ""Point""}";49.24643599913211, -123.15979900057839
93779;5511;MANSON ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;600;W 39TH AV;SOUTH CAMBIE;EVEN;2;20-30;14.25;;"{""coordinates"": [-123.11984800020186, 49.2354719987986], ""type"": ""Point""}";49.2354719987986, -123.11984800020186
61363;210;E BROADWAY;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;200;E BROADWAY;MOUNT PLEASANT;EVEN;2;20-30;14.0;;"{""coordinates"": [-123.10065100059886, 49.26280799951471], ""type"": ""Point""}";49.26280799951471, -123.10065100059886
93922;2330;MAPLE ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1900;W 7TH AV;KITSILANO;EVEN;2;20-30;17.25;;"{""coordinates"": [-123.14986400034715, 49.26547799874523], ""type"": ""Point""}";49.26547799874523, -123.14986400034715
94030;5189;MAPLE ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;5100;MAPLE ST;SHAUGHNESSY;ODD;2;20-30;10.0;1998-05-04;"{""coordinates"": [-123.15195099995576, 49.23937799899194], ""type"": ""Point""}";49.23937799899194, -123.15195099995576
94034;5190;MAPLE ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;5100;MAPLE ST;SHAUGHNESSY;EVEN;2;20-30;27.0;;"{""coordinates"": [-123.15179700020725, 49.239388999338885], ""type"": ""Point""}";49.239388999338885, -123.15179700020725
94048;5225;MAPLE ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;5200;MAPLE ST;SHAUGHNESSY;ODD;3;30-40;28.0;;"{""coordinates"": [-123.15198299931201, 49.2385079986821], ""type"": ""Point""}";49.2385079986821, -123.15198299931201
94072;5825;MAPLE ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;2000;W 42ND AV;KERRISDALE;EVEN;3;30-40;28.0;;"{""coordinates"": [-123.15230399965634, 49.233493998715495], ""type"": ""Point""}";49.233493998715495, -123.15230399965634
61876;686;W BROADWAY;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;2500;HEATHER ST;FAIRVIEW;EVEN;2;20-30;14.0;;"{""coordinates"": [-123.11980300048056, 49.26294999944957], ""type"": ""Point""}";49.26294999944957, -123.11980300048056
61877;686;W BROADWAY;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;2500;HEATHER ST;FAIRVIEW;EVEN;2;20-30;14.0;;"{""coordinates"": [-123.11980599936, 49.262895999007874], ""type"": ""Point""}";49.262895999007874, -123.11980599936
